name;designation;ra_deg;dec_deg;mag
Saclateni;8Zet Aur;75.619515;41.075837;3.69
Taiyangshou;63Chi UMa;176.512725;47.779406;3.69
Nashira;40Gam Cap;325.022715;-16.662308;3.69
Alshain;60Bet Aql;298.828305;6.406763;3.71
Ran;18Eps Eri;53.232720;-9.458262;3.72
Electra;17    Tau;56.218905;24.113339;3.72
Grumium;32Xi  Dra;268.382010;56.872643;3.73
Baten Kaitos;55Zet Cet;27.865140;-10.335038;3.74
Miram;15Eta Per;42.674175;55.895496;3.77
Secunda Hyadum;61Del1Tau;65.733705;17.542514;3.77
Sualocin;9Alp Del;309.909525;15.912072;3.77
Albali;2Eps Aqr;311.918970;-9.495776;3.78
Misam;27Kap Per;47.373870;44.857544;3.79
Praecipua;46    LMi;163.327890;34.214871;3.79
Dalim;Alp For;48.018735;-28.987618;3.80
Theemin;52Ups2Eri;68.887680;-30.562341;3.81
Alrescha;113Alp Psc;30.511755;2.763759;3.82
Giausar;1Lam Dra;172.851105;69.331076;3.82
Marfik;10Lam Oph;247.728435;1.983923;3.82
Atik;38Omi Per;56.079720;32.288248;3.84
Polis;13Mu  Sgr;273.440880;-21.058834;3.84
Sceptrum;53    Eri;69.545100;-14.304020;3.86
Sadachbia;48Gam Aqr;335.414070;-1.387331;3.86
Maia;20    Tau;56.456685;24.367748;3.87
Iklil;5Rho Sco;239.221155;-29.214073;3.87
Mesarthim;5Gam2Ari;28.382550;19.293852;3.88
Rasalas;24Mu  Leo;148.190970;26.006951;3.88
Azha;3Eta Eri;44.106870;-8.898144;3.89
Zaniah;15Eta Vir;184.976490;-0.666803;3.89
Ukdah;35Iot Hya;144.964005;-1.142810;3.90
Zubenelhakrabi;38Gam Lib;233.881575;-14.789537;3.91
Kitalpha;8Alp Equ;318.955965;5.247845;3.92
Wurren;Zet Phe;17.096130;-55.245760;3.94
Asellus Australis;47Del Cnc;131.171250;18.154309;3.94
Arkab Prior;Bet1Sgr;290.659545;-44.458965;3.96
Rukbat;Alp Sgr;290.971545;-40.615940;3.96
Beemim;43    Eri;66.009195;-34.016846;3.97
Menkib;46Xi  Per;59.741250;35.791033;3.98
Alcor;80    UMa;201.306195;54.987958;3.99
Jabbah;14Nu  Sco;242.998890;-19.460708;4.00
Mekbuda;43Zet Gem;106.027215;20.570297;4.01
Alchiba;1Alp Crv;182.103375;-24.728875;4.02
Aldulfin;2Eps Del;308.303205;11.303263;4.03
Beid;38Omi1Eri;62.966415;-6.837581;4.04
Syrma;99Iot Vir;214.003620;-6.000547;4.07
Alkes;7Alp Crt;164.943660;-18.298783;4.08
Gudja;35Kap Ser;237.184905;18.141564;4.09
Titawin;50Ups And;24.199485;41.405459;4.10
Muliphein;23Gam CMa;105.939555;-15.633286;4.11
Zhang;39Ups1Hya;147.869550;-14.846603;4.11
Meridiana;Alp CrA;287.368035;-37.904474;4.11
Merope;23    Tau;56.581560;23.948358;4.14
Ancha;43The Aqr;334.208475;-7.783290;4.17
Kang;98Kap Vir;213.223935;-10.273702;4.18
Xuange;19Lam Boo;214.096110;46.088305;4.18
Chara;8Bet CVn;188.436165;41.357480;4.24
Alsciaukat;31    Lyn;125.708820;43.188131;4.25
Torcular;110Omi Psc;26.348460;9.157736;4.26
82 G. Eri;;49.979160;-43.069784;4.26
Acubens;65Alp Cnc;134.621760;11.857701;4.26
Kurhah;17Xi  Cep;330.947025;64.627971;4.26
Arkab Posterior;Bet2Sgr;290.804640;-44.799778;4.27
Taygeta;19    Tau;56.302050;24.467278;4.30
Alkalurops;51Mu 1Boo;231.122715;37.377167;4.31
Alterf;4Lam Leo;142.930125;22.967971;4.32
Diadem;42Alp Com;197.497035;17.529431;4.32
Guniibuu;36    Oph;258.837540;-26.602829;4.33
Alula Australis;53Xi  UMa;169.546770;31.528783;4.33
Botein;57Del Ari;47.907330;19.726677;4.35
Yildun;23Del UMi;263.053770;86.586460;4.35
Sham;5Alp Sge;295.024125;18.013890;4.39
Maasym;76Lam Her;262.684620;26.110645;4.41
Alkarab;68Ups Peg;351.344895;23.404101;4.42
Keid;40Omi2Eri;63.818055;-7.652871;4.43
Aladfar;20Eta Lyr;288.439530;39.145968;4.43
Anser;6Alp Vul;292.176405;24.664905;4.44
Minchir;5Sig Hya;129.689325;3.341435;4.45
Fumalsamakah;4Bet Psc;345.969225;3.820045;4.48
Lilii Borea;39    Ari;41.977200;29.247118;4.52
Khambalia;100Lam Vir;214.777470;-13.371095;4.52
Cujam;24Ome Her;246.353970;14.033270;4.57
Dziban;31Psi1Dra;265.484670;72.148843;4.57
Salm;62Tau Peg;350.159340;23.740337;4.58
Castula;28Ups2Cas;14.166480;59.181056;4.62
Alya;63The1Ser;284.054925;4.203595;4.62
Asellus Borealis;43Gam Cnc;130.821465;21.468501;4.66
Tegmine;16Zet2Cnc;123.053025;17.647771;4.67
Alsafi;61Sig Dra;293.087235;69.661175;4.67
Bunda;23Xi  Aqr;324.437955;-7.854201;4.68
Azelfafage;80Pi 1Cyg;325.523595;51.189622;4.69
Terebellum;58Ome Sgr;298.959765;-26.299506;4.70
Libertas;59Xi  Aql;298.562010;8.461453;4.71
Angetenar;2Tau2Eri;42.759675;-21.004019;4.76
Alshat;8Nu  Cap;305.165895;-12.759080;4.77
Zibal;13Zet Eri;48.958440;-8.819730;4.80
Alula Australis B;53Xi  UMa;169.546770;31.528783;4.80
Elgafar;105Phi Vir;217.050570;-2.227957;4.81
Fafnir;42    Dra;276.496035;65.563480;4.82
Graffias;Xi  Sco;241.091610;-11.374611;4.84
Ainalrami;32Nu 1Sgr;283.542405;-22.744834;4.86
Adhil;46Xi  And;20.585055;45.528778;4.87
Jishui;71Omi Gem;114.791400;34.584346;4.89
Acrab B;8Bet2Sco;241.360650;-19.801860;4.90
Felis;;148.717545;-19.009360;4.94
Alya B;63The2Ser;284.061015;4.202132;4.98
Elkurud;The Col;91.881795;-37.252920;5.00
Marsic;7Kap Her;242.018865;17.046980;5.00
Chalawan;47    UMa;164.866800;40.430257;5.03
Situla;63Kap Aqr;339.439095;-4.228056;5.04
Pleione;28    Tau;57.296730;24.136712;5.05
Guniibuu B;36    Oph;258.836010;-26.603215;5.07
Cervantes;Mu  Ara;266.036280;-51.834053;5.12
Albireo B;6Bet2Cyg;292.689150;27.965276;5.12
Nahn;77Xi  Cnc;137.339730;22.045446;5.16
Revati;86Zet Psc;18.432855;7.575354;5.21
Veritate;14    And;352.822350;39.236198;5.22
Taiyi;8    Dra;193.868970;65.438474;5.23
Intercrus;;142.166625;45.601483;5.40
La Superba;;191.282610;45.440256;5.42
Tianyi;7    Dra;191.893095;66.790304;5.43
Celaeno;16    Tau;56.200890;24.289470;5.45
Polaris Australis;Sig Oct;317.191785;-88.956499;5.45
Helvetios;51    Peg;344.366550;20.768832;5.45
Musica;18    Del;314.608065;10.839286;5.51
Cor Caroli B;12Alp1CVn;194.002020;38.314912;5.61
Alrakis;21Mu  Dra;256.330710;54.469093;5.63
96 G. Psc;;12.095730;5.280615;5.74
Alruba;;265.996545;53.801715;5.75
p Eridani;;24.947535;-56.196400;5.76
Asterope;21    Tau;56.476980;24.554511;5.76
Merga;38    Boo;222.327795;46.116205;5.76
Tonatiuh;;181.311765;76.905734;5.78
268 G. Cet;;39.020355;6.886870;5.79
p Eridani;;24.945045;-56.194620;5.80
Dziban B;31Psi1Dra;265.491915;72.156911;5.81
Piautos;19Lam Cnc;125.133900;24.022314;5.92
Copernicus;55Rho1Cnc;133.149375;28.330819;5.96
Xihe;;280.900440;36.556605;6.04
Marsic B;7Kap Her;242.020650;17.054382;6.25
Gumala;;288.888420;-24.179352;6.25
Citalá;;105.075150;-5.367162;6.29
Meleph;41Eps Cnc;130.112550;19.544808;6.29
Groombridge 1830;;178.242300;37.718679;6.42
Mago;;77.402715;69.639401;6.43
Revati B;86Zet Psc;18.438600;7.578261;6.44
Chechia;;304.025025;4.580795;6.44
Formosa;;173.765655;20.441545;6.45
Mira;68Omi Cet;34.836630;-2.977643;6.47
Alkalurops B;51Mu 2Boo;231.128700;37.347300;6.51
Kamuy;;242.516310;26.742750;6.57
Inquill;;259.964205;-48.549319;6.67
Bubup;;84.257535;-73.699343;6.69
Lacaille 8760;;319.315875;-38.867362;6.69
Baekdu;;224.201385;74.900927;6.83
Timir;;247.117305;-13.399640;6.89
Tupã;;186.443355;-64.022088;6.99
Matza;;201.150450;-51.504458;7.01
Bélénos;;21.302070;28.566693;7.12
Tupi;;54.929880;-52.915838;7.12
Dofida;;203.106450;-47.271363;7.17
Buna;;39.258000;42.062633;7.28
Lacaille 9352;;346.462965;-35.853073;7.35
Aiolos;;164.262765;-68.667347;7.36
Rapeto;;256.128525;-43.309770;7.39
Uklun;;176.210400;-58.703709;7.47
Itonda;;329.332635;-37.763621;7.47
Lalande 21185;;165.834480;35.969877;7.49
Belel;;290.267640;-23.619572;7.55
Lionrock;;336.762810;-17.263658;7.60
Illyrian;;143.938260;34.780742;7.62
Nenque;;16.167420;-39.488217;7.72
Cocibolca;;11.110950;-26.515680;7.78
Arcalís;;223.345950;18.235401;7.80
Ayeyarwady;;45.044415;-20.802604;7.81
Poerava;;352.834350;-58.209733;7.82
Sika;;290.720730;-32.919054;7.84
Aniara;;177.843825;57.640736;7.86
Nikawiy;;229.775775;41.733207;7.88
Lucilinburhuc;;97.190490;38.962963;7.89
Rosalíadecastro;;248.212710;2.084832;7.89
Mouhoun;;72.574425;-24.368839;7.91
Alasia;;275.457435;-11.922683;7.95
Kaveh;;283.920345;4.265325;8.02
Stribor;;133.461735;33.056812;8.03
Mönch;;221.886360;-0.281476;8.04
Nosaxa;;100.007160;-48.541955;8.05
Hunahpú;;169.448160;-23.975414;8.05
Liesma;;203.510715;53.728529;8.05
Emiw;;17.696355;-66.188164;8.06
Flegetonte;;176.426220;2.821483;8.07
Groombridge 34;;4.592610;44.022954;8.09
Lusitânia;;97.304955;10.933891;8.10
Nervia;;102.877125;40.867756;8.10
Tapecue;;116.956905;-54.264145;8.10
Ogma;;247.623465;38.347310;8.15
Nushagak;;42.434880;71.753232;8.17
Násti;;124.592040;61.460722;8.20
Dingolay;;166.185225;-2.513218;8.21
Gakyid;;129.815850;12.960375;8.23
Kalausi;;144.299265;-43.272205;8.23
Axólotl;;359.974275;-22.428113;8.23
Macondo;;161.087190;-33.577022;8.30
Bosona;;325.853745;-7.408253;8.34
Citadelle;;4.821105;14.054755;8.36
Hoggar;;67.856055;4.575287;8.38
Mahsati;;253.431585;11.973746;8.38
Sagarmatha;;173.964675;-4.755697;8.42
Natasha;;147.510375;-49.790266;8.54
Sāmaya;;324.535020;-31.737485;8.56
Ebla;;347.294700;-2.260742;8.59
Karaka;;233.916930;-80.204587;8.71
Hunor;;245.151495;41.048084;8.72
Bibhā;;149.024655;-3.808422;8.73
Funi;;188.031090;74.489551;8.75
Babcock's star;;341.031270;55.589226;8.83
Cygnus X-1;;299.590320;35.201604;8.84
Red Rectangle;;94.992570;-10.637414;8.85
Kapteyn's Star;;77.912535;-45.018417;8.86
Struve 2398 A;;280.697685;59.630396;8.94
Uruk;;293.017335;16.474290;8.97
Amadioha;;93.398535;-29.897269;8.98
Shama;;171.072330;-1.529076;9.10
Ceibo;;114.841245;-78.278972;9.37
Barnard's Star;;269.452080;4.693388;9.54
Kruger 60;;336.999630;57.695875;9.59
Felixvarela;;7.142985;-16.226344;9.62
Pincoya;;270.778905;-28.560643;9.62
Struve 2398 B;;280.698735;59.626847;9.70
Solaris;;318.399945;14.689387;9.78
Uúba;;358.667370;-37.627924;9.79
Luyten's Star;;111.852075;5.225785;9.84
Intan;;50.177745;-33.730104;9.92
Campbell's Hydrogen Star;;293.688465;30.516371;10.00
Wolf 1061;;247.575255;-12.662594;10.10
Añañuca;;146.124795;-45.776513;10.22
Koeia;;41.678625;-23.086611;10.25
Ross 154;;282.455535;-23.836232;10.37
Noquisi;;175.545960;26.706570;10.67
Proxima Centauri;;217.439775;-62.679485;11.01
Danfeng;;350.032140;-60.065183;11.03
Ross 614;;97.347495;-2.813979;11.12
Ross 128;;176.934990;0.804563;11.12
Sharjah;;243.174060;-18.875503;11.34
Gar;;191.985975;9.751397;11.39
Ross 248;;355.475685;44.174924;12.29
Kaewkosin;;119.776230;15.392426;12.33
Van Maanen's Star;;12.291240;5.388610;12.37
Ross 687;;135.209715;5.241545;12.37
EZ Aqr;;339.638430;-15.302542;12.66
Ross 686;;135.210075;5.242018;12.68
3C 273;;187.277895;2.052398;12.88
Wolf 359;;164.122260;7.015320;13.45
Maru;;121.709040;-66.299883;13.92
Onkaria;;258.827910;4.961607;14.67
